,id,num_rooms,metro,address,area_m2,parking,repair,balcony,rent,price
21201,0.9981219185737464,0.2,0.8892508143322475,0.0,0.0580075662042875,0.6,0.6666666666666666,0.0,1.0,0.0552834149755073
21202,0.9962419529184712,0.2,0.4397394136807817,0.0,0.0580075662042875,0.6,0.6666666666666666,0.7777777777777778,1.0,0.0640307907627711
21203,0.9720615047413612,0.6,0.8892508143322475,0.0,0.1046658259773013,0.4,1.0,0.8333333333333334,1.0,0.0902729181245626
21204,0.998476994377562,0.0,0.4397394136807817,0.0,0.0416141235813367,0.4,0.6666666666666666,0.7777777777777778,1.0,0.0255423372988103
21205,0.979219368805817,0.2,0.4397394136807817,0.0,0.0580075662042875,0.4,0.6666666666666666,0.2777777777777778,1.0,0.0902729181245626
21206,0.95598332483552,0.2,0.4397394136807817,0.0,0.0800756620428751,0.6,1.0,0.0555555555555555,1.0,0.0377886634009797
21207,0.999870208819264,0.0,0.8892508143322475,0.0,0.0479192938209331,0.4,1.0,0.7777777777777778,1.0,0.020293911826452
21208,0.5991126795846904,0.0,0.4397394136807817,0.0,0.0416141235813367,0.6,1.0,1.0,1.0,0.0272918124562631
21209,0.981688871560342,0.0,0.4397394136807817,0.0,0.0416141235813367,0.6,1.0,0.7777777777777778,1.0,0.0272918124562631
21210,0.9882729819249786,0.0,0.8892508143322475,0.0,0.0403530895334174,0.6,1.0,0.0,1.0,0.0290412876137158
21211,0.9914052562750924,0.2,0.8892508143322475,0.0,0.0466582597730138,0.6,1.0,1.0,1.0,0.0377886634009797
21212,0.8705557976531463,0.0,0.4397394136807817,0.0,0.0441361916771752,0.6,0.6666666666666666,0.0,1.0,0.0395381385584324
21213,0.999448725867938,0.2,0.4397394136807817,0.0,0.0428751576292559,0.6,0.3333333333333333,0.0,1.0,0.0465360391882435
21214,0.9966765539199474,0.2,0.4397394136807817,0.0,0.0580075662042875,0.6,1.0,0.8333333333333334,1.0,0.0465360391882435
21215,0.9928882578073224,0.4,0.8892508143322475,0.0,0.0870113493064312,0.6,0.6666666666666666,0.0,1.0,0.0902729181245626
21216,0.996360086922824,0.4,0.8892508143322475,0.0,0.0895334174022698,0.4,0.6666666666666666,0.8333333333333334,1.0,0.0902729181245626
21217,0.9948661974089692,0.0,0.8892508143322475,0.0,0.0310214375788146,0.4,1.0,0.0,1.0,0.0150454863540937
21218,0.9761142667077644,0.2,0.3289902280130293,0.0,0.0491803278688524,0.6,1.0,0.0,1.0,0.0290412876137158
21219,0.9971660778123024,0.2,0.3289902280130293,0.0,0.0479192938209331,0.4,1.0,0.0,1.0,0.0377886634009797
21220,0.980637823568558,0.2,0.8892508143322475,0.0,0.0673392181588902,0.4,0.6666666666666666,0.7777777777777778,1.0,0.0640307907627711
21221,0.9698025168779963,0.4,0.7817589576547231,0.0,0.1551071878940731,0.6,0.6666666666666666,0.0,0.0,0.3876836948915325
21222,0.995218494571253,0.6,0.7817589576547231,0.0,0.180327868852459,1.0,0.6666666666666666,0.0,1.0,0.4051784464660601
21223,0.9952184587947526,0.4,0.7817589576547231,0.0,0.1841109709962169,1.0,0.6666666666666666,0.0,1.0,0.4051784464660601
21224,0.9989124182385476,0.4,0.0521172638436482,0.0,0.1689785624211853,0.6,0.3333333333333333,0.2777777777777778,1.0,0.4909027291812456
21225,0.9370956044270105,0.8,0.973941368078176,0.0,0.2711223203026481,0.6,0.3333333333333333,0.7777777777777778,1.0,0.5801259622113366
21226,0.959845076066236,0.8,0.7817589576547231,0.0,0.2622950819672131,1.0,0.6666666666666666,0.7777777777777778,0.0,0.6675997200839748
21227,0.9982468978151774,0.8,0.8794788273615635,0.0,0.274905422446406,1.0,0.6666666666666666,0.0,0.0,0.7550734779566131
21228,0.9963974375892516,0.0,0.973941368078176,0.0,0.0365699873896595,0.6,1.0,0.0,1.0,0.0552834149755073
21229,0.8186816966607008,0.0,0.973941368078176,0.0,0.0315258511979823,0.4,1.0,0.0,1.0,0.020293911826452
21230,0.99715889866122,0.0,0.8794788273615635,0.0,0.0290037831021437,0.6,1.0,0.0,1.0,0.0307907627711686
21231,0.9979808577953814,0.2,0.8794788273615635,0.0,0.0240857503152585,0.6,0.6666666666666666,1.0,1.0,0.0325402379286214
21232,0.9993646630174756,0.0,0.973941368078176,0.0,0.0315258511979823,0.6,0.6666666666666666,0.0,1.0,0.0377886634009797
21233,0.985458373084752,0.2,0.8794788273615635,0.0,0.0466582597730138,0.6,0.6666666666666666,1.0,1.0,0.0465360391882435
21234,0.9352987714331872,0.2,0.8794788273615635,0.0,0.0680958385876418,0.4,0.6666666666666666,1.0,1.0,0.0552834149755073
21235,0.6682443924464813,0.0,0.8794788273615635,0.0,0.0416141235813367,1.0,1.0,0.7777777777777778,1.0,0.0653428971308607
21236,0.9923043495441368,0.2,0.8794788273615635,0.0,0.0756620428751576,0.4,0.6666666666666666,0.2777777777777778,1.0,0.0657802659202239
21237,0.7826723150844024,0.0,0.7947882736156352,0.0,0.0453972257250945,1.0,0.6666666666666666,0.7777777777777778,1.0,0.072778166550035
21238,0.97109543786355,0.2,0.8794788273615635,0.0,0.0769230769230769,0.6,0.3333333333333333,0.0555555555555555,1.0,0.0990202939118264
21239,0.9981334743833788,0.6,0.8794788273615635,0.0,0.1366960907944514,0.6,1.0,0.2777777777777778,1.0,0.1165150454863541
21240,0.9956674121356428,0.6,0.8794788273615635,0.0,0.2055485498108449,1.0,0.6666666666666666,0.8888888888888888,1.0,0.2302309307207837
21241,0.748122268885313,0.4,0.6677524429967426,0.0,0.1614123581336696,0.6,0.3333333333333333,0.0,1.0,0.4051784464660601
21242,0.7035028849066821,0.6,0.6677524429967426,0.0,0.2509457755359395,1.0,0.6666666666666666,0.2777777777777778,1.0,0.562631210636809
21243,0.980963169100533,0.6,0.1465798045602606,0.0,0.2358133669609079,0.6,0.6666666666666666,0.7777777777777778,1.0,0.5801259622113366
21244,0.994059002043977,0.2,0.7947882736156352,0.0,0.0542244640605296,0.6,0.3333333333333333,0.7777777777777778,1.0,0.0937718684394681
21245,0.9929176362769088,0.0,0.7947882736156352,0.0,0.0403530895334174,0.6,1.0,0.0,1.0,0.0517844646606018
21246,0.9885607740570236,0.0,0.7947882736156352,0.0,0.0542244640605296,1.0,0.3333333333333333,0.7777777777777778,1.0,0.1077676696990902
